observation_date,BAA,BAA10YM,AAA
1976-11-01,9.23,1.94,8.25
1976-12-01,9.12,2.25,7.98
1977-01-01,9.08,1.87,7.96
1977-02-01,9.12,1.73,8.04
1977-03-01,9.12,1.66,8.10
1977-04-01,9.07,1.70,8.04
1977-05-01,9.01,1.55,8.05
1977-06-01,8.91,1.63,7.95
1977-07-01,8.87,1.54,7.94
1977-08-01,8.82,1.42,7.98
1977-09-01,8.80,1.46,7.92
1977-10-01,8.89,1.37,8.04
1977-11-01,8.95,1.37,8.08
1977-12-01,8.99,1.30,8.19
1978-01-01,9.17,1.21,8.41
1978-02-01,9.20,1.17,8.47
1978-03-01,9.22,1.18,8.47
1978-04-01,9.32,1.17,8.56
1978-05-01,9.49,1.14,8.69
1978-06-01,9.60,1.14,8.76
1978-07-01,9.60,0.96,8.88
1978-08-01,9.48,1.07,8.69
1978-09-01,9.42,1.00,8.69
1978-10-01,9.59,0.95,8.89
1978-11-01,9.83,1.02,9.03
1978-12-01,9.94,0.93,9.16
1979-01-01,10.13,1.03,9.25
1979-02-01,10.08,0.98,9.26
1979-03-01,10.26,1.14,9.37
1979-04-01,10.33,1.15,9.38
1979-05-01,10.47,1.22,9.50
1979-06-01,10.38,1.47,9.29
1979-07-01,10.29,1.34,9.20
1979-08-01,10.35,1.32,9.23
1979-09-01,10.54,1.21,9.44
1979-10-01,11.40,1.10,10.13
1979-11-01,11.99,1.34,10.76
1979-12-01,12.06,1.67,10.74
1980-01-01,12.42,1.62,11.09
1980-02-01,13.57,1.16,12.38
1980-03-01,14.45,1.70,12.96
1980-04-01,14.19,2.72,12.04
1980-05-01,13.17,2.99,10.99
1980-06-01,12.71,2.93,10.58
1980-07-01,12.65,2.40,11.07
1980-08-01,13.15,2.05,11.64
1980-09-01,13.70,2.19,12.02
1980-10-01,14.23,2.48,12.31
1980-11-01,14.64,1.96,12.97
1980-12-01,15.14,2.30,13.21
1981-01-01,15.03,2.46,12.81
1981-02-01,15.37,2.18,13.35
1981-03-01,15.34,2.22,13.33
1981-04-01,15.56,1.88,13.88
1981-05-01,15.95,1.85,14.32
1981-06-01,15.80,2.33,13.75
1981-07-01,16.17,1.89,14.38
1981-08-01,16.34,1.40,14.89
1981-09-01,16.92,1.60,15.49
1981-10-01,17.11,1.96,15.40
1981-11-01,16.39,3.00,14.22
1981-12-01,16.55,2.83,14.23
1982-01-01,17.10,2.51,15.18
1982-02-01,17.18,2.75,15.27
1982-03-01,16.82,2.96,14.58
1982-04-01,16.78,2.91,14.46
1982-05-01,16.64,3.02,14.26
1982-06-01,16.92,2.62,14.81
1982-07-01,16.80,2.85,14.61
1982-08-01,16.32,3.26,13.71
1982-09-01,15.63,3.29,12.94
1982-10-01,14.73,3.82,12.12
1982-11-01,14.30,3.75,11.68
1982-12-01,14.14,3.60,11.83
1983-01-01,13.94,3.48,11.79
1983-02-01,13.95,3.23,12.01
1983-03-01,13.61,3.10,11.73
1983-04-01,13.29,2.89,11.51
1983-05-01,13.09,2.71,11.46
1983-06-01,13.37,2.52,11.74
1983-07-01,13.39,2.01,12.15
1983-08-01,13.64,1.79,12.51
1983-09-01,13.55,1.90,12.37
1983-10-01,13.46,1.92,12.25
1983-11-01,13.61,1.92,12.41
1983-12-01,13.75,1.92,12.57
1984-01-01,13.65,1.98,12.20
1984-02-01,13.59,1.75,12.08
1984-03-01,13.99,1.67,12.57
1984-04-01,14.31,1.68,12.81
1984-05-01,14.74,1.33,13.28
1984-06-01,15.05,1.49,13.55
1984-07-01,15.15,1.79,13.44
1984-08-01,14.63,1.91,12.87
1984-09-01,14.35,1.83,12.66
1984-10-01,13.94,1.78,12.63
1984-11-01,13.48,1.91,12.29
1984-12-01,13.40,1.90,12.13
1985-01-01,13.26,1.88,12.08
1985-02-01,13.23,1.72,12.13
1985-03-01,13.69,1.83,12.56
1985-04-01,13.51,2.08,12.23
1985-05-01,13.15,2.30,11.72
1985-06-01,12.40,2.24,10.94
1985-07-01,12.43,2.12,10.97
1985-08-01,12.50,2.17,11.05
1985-09-01,12.48,2.11,11.07
1985-10-01,12.36,2.12,11.02
1985-11-01,11.99,2.21,10.55
1985-12-01,11.58,2.32,10.16
1986-01-01,11.44,2.25,10.05
1986-02-01,11.11,2.41,9.67
1986-03-01,10.50,2.72,9.00
1986-04-01,10.19,2.89,8.79
1986-05-01,10.29,2.58,9.09
1986-06-01,10.34,2.54,9.13
1986-07-01,10.16,2.86,8.88
1986-08-01,10.18,3.01,8.72
1986-09-01,10.20,2.75,8.89
1986-10-01,10.24,2.81,8.86
1986-11-01,10.07,2.82,8.68
1986-12-01,9.97,2.86,8.49
1987-01-01,9.72,2.64,8.36
1987-02-01,9.65,2.40,8.38
1987-03-01,9.61,2.36,8.36
1987-04-01,10.04,2.02,8.85
1987-05-01,10.51,1.90,9.33
1987-06-01,10.52,2.12,9.32
1987-07-01,10.61,2.16,9.42
1987-08-01,10.80,2.04,9.67
1987-09-01,11.31,1.89,10.18
1987-10-01,11.62,2.10,10.52
1987-11-01,11.23,2.37,10.01
1987-12-01,11.29,2.30,10.11
1988-01-01,11.07,2.40,9.88
1988-02-01,10.62,2.41,9.40
1988-03-01,10.57,2.20,9.39
1988-04-01,10.90,2.18,9.67
1988-05-01,11.04,1.95,9.90
1988-06-01,11.00,2.08,9.86
1988-07-01,11.11,2.05,9.96
1988-08-01,11.21,1.95,10.11
1988-09-01,10.90,1.92,9.82
1988-10-01,10.41,1.61,9.51
1988-11-01,10.48,1.52,9.45
1988-12-01,10.65,1.54,9.57
1989-01-01,10.65,1.56,9.62
1989-02-01,10.61,1.44,9.64
1989-03-01,10.67,1.31,9.80
1989-04-01,10.61,1.43,9.79
1989-05-01,10.46,1.60,9.57
1989-06-01,10.03,1.75,9.10
1989-07-01,9.87,1.85,8.93
1989-08-01,9.88,1.77,8.96
1989-09-01,9.91,1.72,9.01
1989-10-01,9.81,1.80,8.92
1989-11-01,9.81,1.94,8.89
1989-12-01,9.82,1.98,8.86
1990-01-01,9.94,1.73,8.99
1990-02-01,10.14,1.67,9.22
1990-03-01,10.21,1.62,9.37
1990-04-01,10.30,1.51,9.46
1990-05-01,10.41,1.65,9.47
1990-06-01,10.22,1.74,9.26
1990-07-01,10.20,1.73,9.24
1990-08-01,10.41,1.66,9.41
1990-09-01,10.64,1.75,9.56
1990-10-01,10.74,2.02,9.53
1990-11-01,10.62,2.23,9.30
1990-12-01,10.43,2.35,9.05
1991-01-01,10.45,2.36,9.04
1991-02-01,10.07,2.22,8.83
1991-03-01,10.09,1.98,8.93
1991-04-01,9.94,1.90,8.86
1991-05-01,9.86,1.79,8.86
1991-06-01,9.96,1.68,9.01
1991-07-01,9.89,1.62,9.00
1991-08-01,9.65,1.75,8.75
1991-09-01,9.51,1.86,8.61
1991-10-01,9.49,1.96,8.55
1991-11-01,9.45,2.03,8.48
1991-12-01,9.26,2.17,8.31
1992-01-01,9.13,2.10,8.20
1992-02-01,9.23,1.89,8.29
1992-03-01,9.25,1.71,8.35
1992-04-01,9.21,1.73,8.33
1992-05-01,9.13,1.74,8.28
1992-06-01,9.05,1.79,8.22
1992-07-01,8.84,2.00,8.07
1992-08-01,8.65,2.06,7.95
1992-09-01,8.62,2.20,7.92
1992-10-01,8.84,2.25,7.99
1992-11-01,8.96,2.09,8.10
1992-12-01,8.81,2.04,7.98
1993-01-01,8.67,2.07,7.91
1993-02-01,8.39,2.13,7.71
1993-03-01,8.15,2.17,7.58
1993-04-01,8.14,2.17,7.46
1993-05-01,8.21,2.17,7.43
1993-06-01,8.07,2.11,7.33
1993-07-01,7.93,2.12,7.17
